amino_acid_code,smiles,current_classification,is_beta_current,is_gamma_current,is_d_amino_current,is_cyclic_current,is_aromatic_current,is_n_methyl_current,manual_classification,is_beta_manual,is_gamma_manual,is_d_amino_manual,is_cyclic_manual,is_aromatic_manual,is_n_methyl_manual,analysis_notes,has_pdb,has_mol2
TY2,OC(=O)[C@H](Cc1ccc(c(c1)N)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1ccc(c(c1)N)O)[NH3],Yes,Yes
TYI,OC(=O)[C@H](Cc1cc(I)c(c(c1)I)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-碘酪氨酸，C@H表示D型，含碘代苯环为芳香族,Yes,Yes
TYQ,OC(=O)[C@H](Cc1cc(N)c(cc1O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1cc(N)c(cc1O)O)[NH3],Yes,Yes
TYR,[NH3][C@@H](Cc1ccc(cc1)O)C(=O)O,Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-酪氨酸，C@@H表示L型，标准蛋白质氨基酸，含羟基苯环为芳香族,Yes,Yes
TZA4,[NH3][C@H](C(=O)O)Cc1cscn1,D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: [NH3][C@H](C(=O)O)Cc1cscn1,Yes,Yes
UN1,OC(=O)CCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,基于SMILES自动分析: OC(=O)CCC[C@@H](C(=O)O)[NH3],Yes,Yes
VAH,CC[C@H]([C@@H]([C](=O)=O)[NH3])O,D-amino,No,No,Yes,No,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: CC[C@H]([C@@H]([C](=O)=O)[NH3])O,Yes,Yes
VAL,[NH3][C@@H](C(C)C)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-缬氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
WFP,[NH3][C@H](C(=O)O)Cc1cc(F)cc(c1)F,D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: [NH3][C@H](C(=O)O)Cc1cc(F)cc(c1)F,Yes,Yes
YCM,NC(=O)CSC[C@@H](C(=O)O)[NH3],N-methyl,No,No,No,No,No,Yes,D-amino,No,No,Yes,No,No,No,D-S-甲基半胱氨酸，C@H表示D型，含硫甲基但无环或芳香结构,Yes,Yes
YOF,OC(=O)[C@H](Cc1ccc(c(c1)F)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-氟酪氨酸，C@H表示D型，含氟代苯环为芳香族,Yes,Yes
